,jur_name,reg
0,ALGANSEE TOWNSHIP,187
1,ALLEGAN CITY,863
2,AMBOY TOWNSHIP,139
3,ARGYLE TOWNSHIP,48
4,ARTHUR TOWNSHIP,58
5,AU GRES CITY,155
6,AU GRES TOWNSHIP,109
7,AUBURN CITY,333
8,AVERY TOWNSHIP,114
9,BACKUS TOWNSHIP,59
10,BANGOR CITY,296
11,BAY DE NOC TOWNSHIP,45
12,BEAVERTON CITY,221
13,BELKNAP TOWNSHIP,69
14,BENGAL TOWNSHIP,107
15,BOHEMIA TOWNSHIP,2
16,BRANCH TOWNSHIP,211
17,BREEN TOWNSHIP,54
18,BROOKFIELD TOWNSHIP,260
19,BURLINGTON TOWNSHIP,417
20,BUTTERFIELD TOWNSHIP,69
21,CALIFORNIA TOWNSHIP,62
22,CARMEL TOWNSHIP,347
23,CEDAR CREEK TOWNSHIP,691
24,CEDARVILLE TOWNSHIP,25
25,CHAPIN TOWNSHIP,108
26,CHARLTON TOWNSHIP,209
27,CHERRY VALLEY TOWNSHIP,65
28,CHESTONIA TOWNSHIP,89
29,CLAM UNION TOWNSHIP,102
30,CLIO CITY,446
31,COLOMA CITY,227
32,DAGGETT TOWNSHIP,67
33,DEEP RIVER TOWNSHIP,249
34,DETOUR TOWNSHIP,83
35,DOYLE TOWNSHIP,88
36,DUNCAN TOWNSHIP,35
37,DWIGHT TOWNSHIP,85
38,ELLIS TOWNSHIP,99
39,ELLSWORTH TOWNSHIP,120
40,ELM RIVER TOWNSHIP,27
41,ELMIRA TOWNSHIP,220
42,EMERSON TOWNSHIP,115
43,ENSIGN TOWNSHIP,93
44,ENTERPRISE TOWNSHIP,31
45,ERWIN TOWNSHIP,20
46,EWING TOWNSHIP,28
47,FAIRHAVEN TOWNSHIP,139
48,FAITHORN TOWNSHIP,17
49,FAWN RIVER TOWNSHIP,160
50,FLYNN TOWNSHIP,91
51,FREDERIC TOWNSHIP,160
52,FREEDOM TOWNSHIP,162
53,FROST TOWNSHIP,144
54,GAASTRA CITY,36
55,GALIEN TOWNSHIP,188
56,GILFORD TOWNSHIP,86
57,GLADWIN CITY,469
58,GLADWIN TOWNSHIP,96
59,GOBLES CITY,95
60,GOODAR TOWNSHIP,48
61,GOODLAND TOWNSHIP,234
62,GOODWELL TOWNSHIP,77
63,GORE TOWNSHIP,22
64,GOURLEY TOWNSHIP,54
65,GREENDALE TOWNSHIP,209
66,HAIGHT TOWNSHIP,25
67,HARRIS TOWNSHIP,197
68,HARRISVILLE CITY,67
69,HARRISVILLE TOWNSHIP,132
70,HARTFORD CITY,319
71,HEBRON TOWNSHIP,33
72,HEMATITE TOWNSHIP,27
73,HENDRICKS TOWNSHIP,25
74,HILLMAN TOWNSHIP,266
75,HINTON TOWNSHIP,115
76,HOMESTEAD TOWNSHIP,336
77,HOUGHTON TOWNSHIP,7
78,HULBERT TOWNSHIP,16
79,IMLAY CITY CITY,571
80,INTERIOR TOWNSHIP,28
81,INWOOD TOWNSHIP,63
82,JONESFIELD TOWNSHIP,184
83,JORDAN TOWNSHIP,115
84,KLACKING TOWNSHIP,56
85,KOYLTON TOWNSHIP,221
86,LAKE ANGELUS CITY,32
87,LAKE CITY CITY,157
88,LAMOTTE TOWNSHIP,80
89,LILLEY TOWNSHIP,139
90,LITCHFIELD TOWNSHIP,130
91,LIVINGSTON TOWNSHIP,387
92,LONG RAPIDS TOWNSHIP,104
93,LOUD TOWNSHIP,37
94,MACKINAC ISLAND CITY,110
95,MANISTIQUE CITY,369
96,MANISTIQUE TOWNSHIP,128
97,MANLIUS TOWNSHIP,442
98,MANSFIELD TOWNSHIP,31
99,MAPLE VALLEY TOWNSHIP,342
100,MARENISCO TOWNSHIP,68
101,MARILLA TOWNSHIP,48
102,MARLETTE TOWNSHIP,182
103,MATCHWOOD TOWNSHIP,8
104,MATHIAS TOWNSHIP,64
105,MCKINLEY TOWNSHIP,252
106,MENOMINEE CITY,787
107,MICHIGAMME TOWNSHIP,36
108,MIDLAND TOWNSHIP,279
109,MOORE TOWNSHIP,94
110,MOSCOW TOWNSHIP,162
111,MUELLER TOWNSHIP,37
112,MUNRO TOWNSHIP,85
113,NAHMA TOWNSHIP,73
114,NEWARK TOWNSHIP,114
115,NORMAN TOWNSHIP,225
116,NORTH PLAINS TOWNSHIP,159
117,NORWAY CITY,321
118,NORWOOD TOWNSHIP,91
119,NOVI TOWNSHIP,28
120,OGEMAW TOWNSHIP,173
121,OLIVET CITY,166
122,OMER CITY,46
123,ORANGE TOWNSHIP,270
124,ORIENT TOWNSHIP,99
125,OVID CITY,211
126,PARIS TOWNSHIP,45
127,PEACOCK TOWNSHIP,51
128,PEAINE TOWNSHIP,54
129,PINCONNING CITY,170
130,PLEASANTON TOWNSHIP,124
131,PULASKI TOWNSHIP,230
132,QUINCY TOWNSHIP,532
133,RABER TOWNSHIP,97
134,RAPID RIVER TOWNSHIP,218
135,REPUBLIC TOWNSHIP,124
136,RESORT TOWNSHIP,357
137,RIDGEWAY TOWNSHIP,186
138,RIVERTON TOWNSHIP,132
139,ROCKLAND TOWNSHIP,20
140,ROLLAND TOWNSHIP,155
141,ROSE CITY CITY,95
142,ROYAL OAK TOWNSHIP,397
143,RUSH TOWNSHIP,147
144,SAUBLE TOWNSHIP,53
145,SENEY TOWNSHIP,15
146,SIGEL TOWNSHIP,31
147,SPAULDING TOWNSHIP,204
148,ST JAMES TOWNSHIP,30
149,STAMBAUGH TOWNSHIP,138
150,STAR TOWNSHIP,165
151,STRONACH TOWNSHIP,103
152,STURGIS TOWNSHIP,253
153,SULLIVAN TOWNSHIP,362
154,SWEETWATER TOWNSHIP,29
155,TILDEN TOWNSHIP,118
156,TROY TOWNSHIP,36
157,TURIN TOWNSHIP,13
158,VALLEY TOWNSHIP,330
159,VERMONTVILLE TOWNSHIP,252
160,VERONA TOWNSHIP,132
161,VILLAGE OF CLARKSTON CITY,143
162,WALKER TOWNSHIP,42
163,WARREN TOWNSHIP,272
164,WATERVLIET CHARTER TOWNSHIP,405
165,WATERVLIET CITY,243
166,WEARE TOWNSHIP,165
167,WEBBER TOWNSHIP,221
168,WELLINGTON TOWNSHIP,22
169,WESTPHALIA TOWNSHIP,222
170,WEXFORD TOWNSHIP,197
171,WHITE CLOUD CITY,187
172,WHITTEMORE CITY,62
173,WILCOX TOWNSHIP,149
174,WILMOT TOWNSHIP,104
175,WINSOR TOWNSHIP,193
176,WINTERFIELD TOWNSHIP,47
177,WISNER TOWNSHIP,74
178,ZILWAUKEE TOWNSHIP,8
